"E","U"
"Dhobi","دھوبى"
"Dholka","دھولکا"
"Dhoor","دھوڑ"
"Dhowi","دھوئى"
"Dhudhi","ڈھڈى"
"Dhuein","دھوئيں"
"Dhup","دھپ"
"Died","فوت ہوا"
"Diesel","ڈيزل"
"Diff","فرق"
"Difference","فرق"
"Different","مختلف"
"DIG","ڈىآئى جى"
"Digranwan","ڈگرانواں"
"Dik","ڈيرہ اسماعيل خان"
"Dil","دل"
"Dilbar","دلبر"
"Dildar","دلدار"
"Dilshad","دلشاد"
"Din","دين"
"Dinga","دينگا"
"Dipal","دیپال"
"Direct","ڈائريکٹ"
"Director","ڈائريکٹر"
"Directors","ڈائريکٹرز"
"Dirkhana","دھرکھانہ"
"Discount","ڈسکاوئنٹ"
"disk","ڈسک"
"Dismissed","برخاست"
"Dispenser","ڈسپنسر"
"Disposal","ڈسپوزل"
"Distagir","دستگير"
"Disterly","ڈسٹلرى"
"District","ضلع"
"Distt","ضلع"
"Distt.","ڈسٹرکٹ"
"Dita","دتہ"
"Ditta","دتہ"
"Diwaya","ڈيوايا"
"Diyal","ديال"
"Doctor","ڈاکٹر"
"Dogar","ڈوگر"
"Doka","دوکہ"
"Dolat","دولت"
"Doloana","دولوآنہ"
"Doluana","دولوآنہ"
"Donation","ڈونيشن"
"Donations","ڈونيشنز"
"Dosa","دوسہ"
"Dost","دوست"
"Douliat","دولت"
"Doust","دوست"
"Dowi","ڈوھى"
"DP","ڈى پى"
"DPO","ڈى پى او"
"Dr","ڈاکٹر"
"Dr.","ڈاکٹر"
"Drawing","ڈرائنگ"
"Draz","دراز"
"Drill","ڈرل"
"Driver","ڈرائيور"
"Droping","ڈراپنگ"
"Dropping","ڈراپنگ"
"DSP","ڈى ايس پى"
"DSP/Ahmadpur","ڈی ايس پى احمدپور"
"DSP/Chenab","ڈی ايس پى چناب"
"DSP/Chiniot","ڈی ايس پى چنيوٹ"
"DSP/CIA","ڈی ايس پى سى آئى اے"
"DSP/City","ڈی ايس پى سى سٹى"
"DSP/HQ","ڈی ايس پى ہیڈ کواٹر"
"DSP/Hqrs","ڈی ايس پى ہیڈ کواٹر"
"DSP/Investigation","ڈی ايس پى انوسٹى گيشن"
"DSP/Lalian","ڈی ايس پى لالياں"
"DSP/Legal","ڈی ايس پى ليگل"
"DSP/Sadar","ڈی ايس پى صدر"
"DSP/Shorkot","ڈی ايس پى شورکوٹ"
"Dubi","دوبئي"
"Duck","ڈک"
"Duckt","ڈکٹ"
"Dugri","ڈگرى"
"Dul","دل"
"Dullanwana","ڈلانوالہ"
"Duty","ڈيوٹى"
"e","اى"
"E/L","رخصت کلاں"
"Earned","رخصت اتفاقيہ"
"East","شرقى"
"Eastren","ايسٹرن"
"easy","ایزی"
"Ebadat","عبادت"
"Education","ايجوکيشن"
"Eesay","عيسائى"
"Egent","ايجنٹ"
"Ehsan","احسان"
"Eid","عيد"
"Eidgah","عيدگاہ"
"Eisa","عيسٰى"
"Ejaz","اعجاز"
"Elahi","الٰہى"
"Electric","اليکٹرک"
"Electrict","اليکٹرک"
"Electronics","اليکٹرونکس"
"Elehi","الٰى"
"Elite","ايليٹ"
"EM","اى ايم"
"Emaan","ایما ن"
"Embriobary","ايمبراڈرى"
"Employees","ايمپلائيز"
"End","اينڈ"
"Eng","انجينئرنگ"
"Engenring","انجينئرنگ"
"Engineering","انجينئرنگ"
"Enginering","انجينئرنگ"
"Enginring","انجينئرنگ"
"English","انگلش"
"Enter","انٹر"
"Enterpises","انٹرپرائزنگ"
"Enterprises","انٹرپرائز"
"Enterprizes","انٹرپرائزز"
"Entertainment","انٹرٹينمنٹ"
"Entertainments","انٹرٹينمنٹ"
"Entrprises","انٹرپرائزز"
"Entry","انٹری"
"Equipment","ايکوپمنٹ"
"Equipments","ايکوپمنٹس"
"Equity","ايکويٹى"
"Eraser","ربڑ"
"Escort","اسکورٹ"
"Estate","ايسٹيٹ"
"Etc","وغيرہ"
"Ex","سابقہ"
"Exchange","ايکسچينج"
"Excise","ايکسائز"
"Exp","خرچہ"
"Exp.","خرچہ"
"Expences","احراجات"
"Expencess","احراجات"
"Expense","احراجات"
"Expenses","احراجات"
"Explosive","ايکس پلوزو"
"Export","ايکسپورٹس"
"Exporters","ايکسپورٹس"
"Exports","ايکسپورٹس"
"Exports,","ايکسپورٹس"
"Extr","اضافي"
"F","ايف"
"Fabrics","فيبرکس"
"Fabrics,","فيبرکس"
"Factory","فيکٹرى"
"Factory,","فيکٹرى"
"Fahed","فہد"
"Fahim","فہيم"
"Fair","فيئر"
"Faisal","فيصل"
"Faisalabad","فيصل آباد"
"Faisalabad.","فيصل آباد"
"Faisalabd","فيصل آباد"
"Faislabad","فيصل آباد"
"Faiz","فيض"
"Faiza","فيضاں"
"Faizaullah","فيض اللہ"
"Fakhar","فخر"
"Fakhet","بخت"
"Falak","فلک"
"Family","فيملى"
"Fan","فين"
"Faqeer","فقير"
"Faqir","فقير"
"Faqirwali","فقير والى"
"Faraz","فراز"
"Fardaus","فردوس"
"Fardos","فردوس"
"Fardous","فردوس"
"Fareed","فريد"
"Farhan","فرحان"
"Farid","فريد"
"Faridika","فريدکا"
"Farm","فارم"
"Farooq","فاروق"
"Farooqabad","فاروق آباد"
"Farooqi","فاروقى"
"Farooque","فاروق"
"Farooz","فيروز"
"Farrukh","فرخ"
"Farukh","فرخ"
"Faryad","فرياد"
"Farzand","فرزند"
"Fast","فاسٹ"
"Fatah","فتح"
"Fateh","فتح"
"Fathers","باپ"
"Fatima","فاطمہ"
"Fatma","فاطمہ"
"Fauji","فوجى"
"Fax","فيکس"
"Fayaz","فياض"
"Faysal","فيصل"
"Fayyaz","فياض"
"Fazal","فضل"
"Fazil","فاضل"
"FBD","فيصل آباد"
"FDA","ايف ڈى اے"
"FDA,","ايف ڈى اے"
"Feda","فدا"
"Fedral","فيڈرل"
"Fee","فيس"
"Feeds","فيڈز"
"Fees","فيس"
"Feeza","فيضاں"
"Feezan","فيضان"
"Ferooz","فيروز"
"Feroz","فيروز"
"Feroze","فيروز"
"Ferozepur","فيروزپور"
"Ferozpur","فيروز پور"
"Ferozwatvana","فيروز وٹواں"
"Feteh","فتح"
"FIA","ايف آئى اے"
"Fiaz","فياض"
"Fiber","فائبر"
"Fibers","فائبرز"
"Fida","فدا"
"Field","فيلڈ"
"Filling","فلنگ"
"Filter","فلٹر"
"Finances","فنانس"
"Financial","فنانشل"
"Finda","فدا"
"Fine","فائن"
"Finger","فنگر"
"Finished","فائنل"
"Finishing","فنشنگ"
"FIR","مقدمہ"
"Firdaus","فردوس"
"First","اول"
"Fixed","فکسڈ"
"Fixture","فکسچر"
"Fixtures","فکسچرز"
"Fizan","فيضاں"
"Floor","فلور"
"Flour","فلور"
"Fly","فلائى"
"Foam","فوم"
"Foja","فوجا"
"Food","فوڈ"
"for","برائے"
"Force","فورس"
"Foreign","فارن"
"Forest","فارسٹ"
"Fort","فورٹ"
"Fourt","فورٹ"
"Fozia","فوزيہ"
"Frame","فريم"
"Freight","فريٹ"
"Freinds","فرينڈز"
"Friends","فرينڈز"
"Frinds","فرينڈز"
"from","از"
"FSD","فيصل اباد"
"Fuel","فيول"
"Fund","فنڈ"
"Fuqra","فقرا"
"Furniture","فرنيچر"
"Furqan","فرگان"
"G","جى"
"G.M.Raja","گڑھ مہاراجہ"
"Gabol","گلوبل"
"Gabool","گابول"
"Gada","گدا"
"Gadhi","گادھى"
"Gadhianwala","گادھدياں والا"
"Gadoon","گوڈاؤن"
"Gafoor","غفور"
"Gagh","گھگھ"
"Gah","گاہ"
"Gali","گلى"
"Galli","گلى"
"Gaman","گامن"
"Gamay","گامے"
"Games","گيمز"
"Ganda","گندا"
"Garah","گڑھا"
"Garbi","غربى"
"Garden","گارڈن"
"Garh","گڑھ"
"Garha","گڑھا"
"Garhmaharaja","گڑمہاراجہ"
"Garments","گارمنٹس"
"Gas","گيس"
"Gass","گيس"
"Gate","گيٹ"
"Gaus","غوث"
"Gawader","گوادر"
"Gazanfar","غضنفر"
"Gazar","گاذر"
"Gazette","گزٹ"
"Gazi","غازى"
"Gehla","گہلا"
"Gehna","گاھنا"
"General","جنرل"
"Generator","جنريٹر"
"Gerbi","غربى"
"Ghafar","غفار"
"Ghaffar","غفار"
"Ghafoor","غفور"
"Ghagh","گھگھ"
"Ghalla","غلہ"
"Ghallah","غلہ"
"Ghanda","گنڈا"
"Ghani","غنى"
"Ghar","گھر"
"Ghara","گھاڑا"
"Gharah","گڑھا"
"Gharbi","غربى"
"Gharh","گڑھ"
"Ghari","گھڑى"
"Gharo","گھاڑو"
"Gharuan","گڑھڑواں"
"Gharwanwala"," گھاڑووالا"
"Ghatti","گھاٹى"
"Ghatti,","گھاٹى"
"Ghauri","غورى"
"Ghaus","غوث"
"Ghazanfar","غضنفر"
"Ghazi","غازى"
"Ghaziabad","غازى آباد"
"Ghee","گھى"
"Ghogay","گھوگھے"
"Ghoghay","گھوگھے"
"Ghona","گھونہ"
"Ghordan","گردان"
"Ghos","غوث"
"Ghosia","غوثيہ"
"Ghousia","غوثيہ"
"Ghujer","گجر"
"Ghulam","غلام"
"Ghullam","غلام"
"Ghulstan","گلستان"
"Ghuman","گھمن"
"Gillani","جيلانى"
"Ginners","جنرز"
"Ginning","جينگ"
"Girl","لڑکی"
"Girls","گرلز"
"Glotran","گلوتراں"
"go","جانا"
"Godam","گودام"
"Gohar","گوھر"
"Gojar","گوجر"
"Gojra","گوجرہ"
"Gold","گولڈ"
"Golden","گولڈن"
"Gomay","گامے"
"Gonah","گونہ"
"Gondal","گوندل"
"Goods","گڈز"
"Goth","گوتھ"
"Government","گورنمنٹ"
"Govt","گورنمنٹ"
"Govt.","گورنمنٹ"
"GPF","جى پى فنڈ"
"GR/O","سکنہ"
"Grain","گرين"
"Graveyard","قبرستان"
"Greveyard","قبرستان"
"Grid","گرڈ"
"Ground","گراؤنڈ"
"Group","گروپ"
"Guard","گارد"
"Gujar","گجر"
"Gujranwala","گجرانوالہ"
"Gul","گل"
"Gulam","غلام"
"Gulbaz","گلباز"
"Gulberg","گلبرگ"
"Gulifishan","گلفشان"
"Gulistan","گلستان"
"Gull","گل"
"Gullab","گلاب"
"Gulshad","گلشاد"
"Gulshan","گلشن"
"Gulshanay","گلشن"
"Gulsher","گل شير"
"Gulstan","گلستان"
"Gulzar","گلزار"
"Gunman","گن مين"
"Gutter","گٹر"
"Gymnesium","جيم خانہ"
"H","ايچ"
"H/","ہيڈ افس"
"H/O","ہيڈ افس"
"Haamid","حامد"
"Habib","حبيب"
"Habibullah","حبيب اللہ"
"Hadait","ہدايت"
"Hadayat","ہدايت"
"Hadi","ہادى"
"Hadiat","ہدايت"
"Hafeez","حفيظ"
"Hafiz","حافظ"
"Haibat","حيبت"
"Haidar","حيدر"
"Haider","حيدر"
"Haider,","حيدر"
"Haideri","حيدرى"
"Haidri","حيدرى"
"Haidria","حيدريہ"
"Haji","حاجى"
"Hajii","حاجى"
"Hajj","حج"
"Hakeem","حکيم"
"Hakim","حکيم"
"Haleem","حليم"
"Haleema","حليمہ"
"Hali","حالى"
"Hall","حال"
"Hamadi","ہمادى"
"Hamayan","ہمايوں"
"Hamayun","ہمايوں"
"Hameed","حميد"
"Hamid","حميد"
"Hamza","حمزہ"
"Hanan","حنان"
"Hand","ہینڈ"
"Handlana","ہندلانہ"
"Handling","ہينڈلنگ"
"Hanif","حنيف"
"Haq","حق"
"Haqnawaz","حق نواز"
"Haraj","ہراج"
"Haral","ہرل"
"Hard","ہارڈ"
"Hari","ہارى"
"Haris","ہارس"
"Harkat","حرکت"
"Harmain","ہارمين"
"Harnaee","ہرنائى"
"Harnai","ہرنائى"
"Harny","ہرناہی"
"Haron","ہارون"
"Haroon","ہارون"
"Haroonabad","ہارون آباد"
"Hasan","حسن"
"Hashim","ہاشم"
"Hashir","حاشر"
"Hashmeera","ہشميرا"
"Hasil","حاصل"
"Hasilpur","حاصل پور"
"Hasina","حسينہ"
"Hasnain","حسنين"
"Hasnana","حسنانہ"
"Hasoo","حسو"
"Hasowana","حسوآنہ"
"hass","ہاس"
"Hassain","حسين"
"Hassan","حسن"
"Hassu","حسو"
"Hast","ہست"
"Hasta","حستہ"
"Hasu","حسو"
"Hathiwan","ہاتھيوان"
"Hathwan","ہاتھيوان"
"Hatim","حاتم"
"Hattar","حطار"
"HAUS","ہاؤس"
"Havaili","حويلى"
"Havalat","حوالات"
"Haveli","حويلى"
"Hawala","حوالہ"
"Hawali","حويلى"
"Hayat","حيات"
"Haydar","حيدر"
"Hayder","حيدر"
"Haytem","ہيتم"
"Hayyat","حيات"
"Hazari","ہزارى"
"Hazoor","حضور"
"Hazoori","حضورى"
"Hazrat","حضرت"
"HBL","حبيب بنک"
"Head","ہیڈ"
"Heart","ہارٹ"
"heck","ہیک"
"Heer","ہیر"
"Heera","ہرا"
"Help","مدد"
"Hersah","ہيرش"
"Heveli","حويلى"
"Hidayat","ہدایت"
"Hilal","حلا ل"
"Hilux","ہائىليکس"
"History","ہسٹري"
"Hmaad","حماد"
"HO","ہيڈ آفس"
"Hoding","ہولڈنگ"
"Holder","ہولڈر"
"Holders","ہولڈرز"
"Holdin","ہولڈنگ"
"Holding","ہولڈنگ"
"HOLTE","ہوٹل"
"home","گھر"
"Honda","ھنڈا"
"Hoops","ہوپس"
"Hoor","ہور"
"Horse","گھوڑا"
"Hosiery","ہوزرى"
"Hospital","ہسپتال"
"House","مکان"
"Hrrel","ہرل"
"Humaira","حميرا"
"Hummayou","ہمايوں"
"Humza","حمزہ"
"Hunain","حنين"
"Hunjura","ہنجرا"
"Huouse","مکان"
"Husain","حسين"
"Husian","حسين"
"Husnain","حسنين"
"Hussain","حسين"
"Hussainah","حسينہ"
"Hussaini","حسينى"
"Hussainia","حسينيہ"
"Hussan","حسيں"
"Hussania","حسينيہ"
"Hussaun","حسين"
"Hussian","حسين"
"Hussnain","حسنين"
"Husssain","حسين"
"Husssainabad","حسين آباد"
"Hussu","حسو"
"Hut","ہٹ"
"Hyden","ہيدن"
"Hyder","حيدر"
"Hydri","حيدرى"
"I","ائى"
"I S T","اقبال شہید ٹرسٹ"
"IB","آئى بى"
"Ibrahim","ابراھيم"
"Ibrar","ابرار"
"Identity","شناختى"
"Idrees","ادريس"
"Iftekhar","افتخار"
"Iftikhar","افتخار"
"Ihsan","احسان"
"II","II"
"Iias","الياس"
"IInd","سيکنڈ"
"Ijaz","اعجاز"
"Ijra","اجرا"
"Ikhlaq","اخلاق"
"Ikhlaq-ul-Hassan","اخلاق الحسن"
"Ikram","اکرام"
"Ikram-ul-Hassan","اکرام الحسن"
"Ikramullah","اکرام اللہ"
"ilas","الياس"
"Ilayas","الياس"
"Ilays","الياس"
"Illyas","الياس"
"Iltaf","الطاف"
"Ilyas","الياس"
"Imam","امام"
"Imamia","اماميہ"
"ImamKot","امام کوٹ"
"Iman","ايمان"
"Imdad","امداد"
"Imjid","امجد"
"Impex","امپيکس"
"Imran","عمران"
"Imtiaz","امتياز"
"in","ان"
"inam","انعام"
"Inayat","عنايت"
"Incharge","انچارج"
"Income","انکم"
"Indus","انڈس"
"Industiral","انڈسٹريل"
"Industrial","انڈسٹريل"
"Industries","انڈسٹريز"
"Industry","انڈسٹرى"
"Insaf","انصاف"
"Inside","اندرون"
"Insite","اندرون"
"Inspector","انسپکٹر"
"Instalation","انسٹاليشن"
"Installation","انسٹاليشن"
"Installations","انسٹاليشنز"
"Instalment","قسط"
"instated","بحال ہوا"
"Instructor","انسٹرکٹر"
"Insurance","انشورنس"
"Inter","انٹر"
"Interes","انٹريز"
"Intermediate","انٹرميڈيٹ"
"Internaitonal","انٹرنيشنل"
"International","انٹرنيشنل"
"Internet","انٹرنيٹ"
"Interprises","انٹرپرائزز"
"Intezar","انتظار"
"Inti","اينٹى"
"Investigation","انوسٹى گيشن"
"IONA","آئى اؤ نا"
"Iqbal","اقبال"
"Iqra","اقرا"
"Iram","ارم"
"Irfan","عرفان"
"Iron","آئرن"
"Irshad","ارشاد"
"IS","ے"
"Ishan","احسان"
"Ishanullah","احسان اللہ"
"Ishaq","اسحاق"
"Ishfaq","اشفاق"
"Ishrat","عشرت"
"Ishtiaq","اشتياق"
"Islah","اصلاح"
"Islam","اسلام"
"Islamaba","اسلام اباد"
"Islamabad","اسلام اباد"
"Islami","اسلامى"
"Ismael","اسماعيل"
"Ismail","اسماعيل"
"Ismial","اسماعيل"
"Israr","اسرار"
"Israr-ul-Hassan","اسرارالحسن"
"Issue","ايشو"
"Issued","ايشوڈ"
"Issuing","ايشونگ"
"Ist","فرسٹ"
"Item","آيٹم"
"Items","آيٹمز"
"Itifaque","اتفاق"
"Ittefaque","اتفاق"
"Izat","عزت"
"Izhar","اظہار"
"J","جے"
"J.B.","ج ب"
"Jabbar","جبار"
"Jabbo","جبو"
"Jaboana","جبوآنہ"
"Jaboo","جبو"
"Jafar","جعفر"
"Jaffar","جعفر"
"Jafir","جعفر"
"Jafria","جعفريہ"
"Jagday","جگدے"
"Jagir","جاگير"
"Jahangir","جہانگير"
"Jahng","جھنگ"
"Jahnian","جہانياں"
"Jail","جيل"
"Jaiwain","جائيوين"
"Jaiwan","جيون"
"Jala","جلہ"
"Jalal","جلال"
"Jalalabad","جلال آباد"
"Jalalpur","جلالپور"
"Jam","جام"
"Jamal","جمال"
"Jamali","جمالى"
"Jamat","جماعت"
"Jamia","جامعہ"
"Jamil","جميل"
"Jamshed","جمشيد"
"Jan","جان"
"janat","جنت"
"Janbaz","جانباز"
"Jand","جنڈ"
"Jani","جانى"
"Jannah","جناح"
"Jannat","جنت"
"Janno","جانو"
"January","جنوری"
"Jappa","جپہ"
"Jaranwala","جڑانوالہ"
"Jarar","جرار"
"Jarawala","جڑانوالہ"
"Jarranwala","جڑانوالہ"
"Jat","جٹ"
"Jatti","جتى"
"Javaid","جاويد"
"Javed","جاويد"
"Javid","جاويد"
"Jawad","جواد"
"Jawia","جوايا"
"JB","ج ب"
"Jee","جى"
"Jehad","جہاد"
"Jehan","جہاں"
"Jehangir","جہانگير"
"Jewan","جيون"
"Jewana","جيونہ"
"Jewna","جيونہ"
"JGB","جے جی بی"
"JGD","جے جي ڈي"
"Jhanb","جھانب"
"Jhang","جھنگ"
"Jhang.","جھنگ"
"Jhangarr","جھنگڑ"
"Jhangvi","جھنگوى"
"Jharki","جھرکى"
"Jhatta","جھتہ"
"Jhnag","جھنگ"
"Jhumra","جھمرہ"
"Jilal","جلال"
"Jillani","جيلانى"
"Jind","جند"
"Jinnah","جناح"
"Jinning","جننگ"
"Jodh","جوڈھ"
"Jogian","جوگياں"
"Jogianwala","جوگياں والا"
"Johar","جوہر"
"Joia","جوئيہ"
"Joory","جورى"
"Joota","جوتا"
"Joya","جوئيہ"
"Judge","جج"
"Judicial","جوڈيشل"
"Julaha","جولاہا"
"July","جولائي"
"Jund","جنڈ"
"Jundwala","جنڈوالا"
"Jut","جٹ"
"K","کے"
"Kaa","کا"
"Kabeer","کبير"
"Kabera","کبيرہ"
"Kabir","کبير"
"Kacha","کچا"
"Kachi","کچی"
"Kahki","ککى"
"Kahlil","خليل"
"Kahloon"," کاہلوں"
"Kaki","ککى"
"Kalan","کلاں"
"Kalandar","کلندر"
"Kalar","کلر"
"Kalasa","کلاسن"
"Kalasan","کلاسن"
"Kalay","کالے"
"Kaleem","کليم"
"Kalowal","کالوال"
"Kalwar","کلواڑ"
"Kamal","کمال"
"kamangran","کمنگراں"
"Kambar","قمر"
"Kamboh","کمبوہ"
"Kammangran","کمنگران"
"Kamoka","کموکہ"
"Kamongran","کمنگراں"
"Kamran","کامران"
"Kanari"," کنارى"
"Kandi","کانڈى"
"Kandiwal","کانڈيوال"
"Kaneez","کنيز"
"Kangran","کگنراں"
"Kapayanwala","کپائيانوالہ"
"Kapoori","کپورى"
"Kapuri","کپورى"
"Kara","کڑا"
"Karachi"," کراچى"
"Karam","کرم"
"Karamat","کرامت"
"Karar","کرار"
"Karbala","کربلا"
"Karballa","کربلا"
"Karbla","کربلا"
"Kareem","کريم"
"Karen","کرن"
"Kari","کرى"
"Karim"," کريم"
"'",""""
"#","نمبر"
"$","ڈالر"
"%","فی صد"
"&","اینڈ"
"(Late)","مرحوم"
"(Late)C/o","مرحوم معرفت"
"(Late)GR/O","مرحوم معرفت"
"(Ltd)","لميٹڈ"
"(Standby)","مقامى"
",","،"
";","؛"
"18-Hazari","18-ہزارى"
"A","اے"
"A T M","اے ٹی ایم"
"AA","اے اے"
"Aabadi","آبادى"
"Aad","اسد"
"Aaga","آغا"
"Aal","آل"
"Aali","عالى"
"Aamir","عامر"
"Aana","آنا"
"Aastana","آستانہ"
"Aatif","عاطف"
"AB","اےبى"
"Abad"," آباد"
"Abadi","آبادى"
"Abaidullah","عبيداللہ"
"Abas"," عباس"
"Abbas"," عباس"
"Abd","عبد"
"Abdid","عابد"
"Abdin","عابدين"
"Abduallah","عبداللہ"
"Abdul"," عبدل"
"Abdullah","عبداللہ"
"Abd-ur-Raheem","عبدالرحمٰن"
"Abid"," عابد"
"ABL"," الائيڈ بنک"
"Abozar","ابوزر"
"Abrar","ابرار"
"Abu","ابو"
"Abuzar","ابوزر"
"AC","اے سى"
"Account"," اکاؤنٹ"
"Accountant","اکاؤنٹنٹ"
"Accounts"," اکاؤنٹس"
"Accrued","واجب الادا"
"Accumulated","اکاموليٹڈ"
"Acount"," اکاؤنٹ"
"Act","ايکٹ"
"ad","اللہ دنہ"
"Ada","اڈا"
"Adalat","عدالت"
"Adan"," عدنان"
"Adda","اڈا"
"addicted","عادى"
"Addition"," اضافہ"
"Additional","ايڈيشنل"
"Addl","ايڈيشنل"
"Addu"," ادو"
"Adeela"," عديلہ"
"Adit","اڈٹ"
"Adjust","ایڈجسٹ"
"Administrative"," انتظامى"
"Administrator","ايڈمنسٹريٹر"
"Adnan"," عدنان"
"Adrees"," ادريس"
"Adu"," ادو"
"Advance"," ايڈوانس"
"Advances"," ايڈوانسز"
"Advenc","ایڈوانس"
"Advertisement"," ايڈورٹائزمنٹ"
"Advocate","ايڈوکيٹ"
"Aera"," ايريا"
"Affan","عفان"
"Afghan","افغان"
"Afghanistan","افغانستان"
"Afsar","افسر"
"Aftab"," آفتاب"
"Afzaal","افضال"
"Afzal","افضل"
"Age"," ايج"
"Agha","آغا"
"Agricultral","زرعى"
"Ahamad","احمد"
"Ahamd","احمد"
"Aheer","آہير"
"Ahmad"," احمد"
"Ahmadia","احمديہ"
"AhmadPur","احمدپورسيال"
"Ahmadpura","احمدپورہ"
"Ahmed"," احمد"
"Ahsan","احسن"
